Index,Close,SMA,EMA,RSI,StochK,StochD
1203,26.73,27.13,3.56,34.72,30.51,37.99
1204,26.85,27.05,3.58,40.50,47.00,38.65
1205,26.77,27.11,3.57,61.87,47.72,41.74
1206,26.35,27.14,3.51,54.91,22.46,39.06
1207,27.37,27.19,3.65,57.21,70.34,46.84
1208,26.83,27.20,3.58,50.80,33.10,41.97
1209,26.68,27.13,3.56,39.35,22.76,42.07
1210,25.90,27.02,3.45,34.41,0.00,18.62
1211,26.00,26.90,3.47,32.50,5.26,9.34
1212,0.00,0.00,0.00,0.00,0.00,0.00
1213,0.00,0.00,0.00,0.00,0.00,0.00
